Operand1,Operand2,Answer,DistractorAnswer,OnesDigitPair,sentence
83,16,99,109,3+6,Question: What is 83 + 16? Answer:
71,18,89,99,1+8,Question: What is 71 + 18? Answer:
26,39,65,55,6+9,Question: What is 26 + 39? Answer:
22,13,35,45,2+3,Question: What is 22 + 13? Answer:
24,76,100,90,4+6,Question: What is 24 + 76? Answer:
91,70,161,171,1+0,Question: What is 91 + 70? Answer:
81,26,107,117,1+6,Question: What is 81 + 26? Answer:
28,94,122,112,8+4,Question: What is 28 + 94? Answer:
11,14,25,35,1+4,Question: What is 11 + 14? Answer:
84,30,114,124,4+0,Question: What is 84 + 30? Answer:
32,56,88,98,2+6,Question: What is 32 + 56? Answer:
47,75,122,112,7+5,Question: What is 47 + 75? Answer:
78,61,139,149,8+1,Question: What is 78 + 61? Answer:
98,72,170,160,8+2,Question: What is 98 + 72? Answer:
69,39,108,98,9+9,Question: What is 69 + 39? Answer:
48,18,66,56,8+8,Question: What is 48 + 18? Answer:
83,49,132,122,3+9,Question: What is 83 + 49? Answer:
34,85,119,129,4+5,Question: What is 34 + 85? Answer:
42,60,102,112,2+0,Question: What is 42 + 60? Answer:
27,68,95,85,7+8,Question: What is 27 + 68? Answer:
74,55,129,139,4+5,Question: What is 74 + 55? Answer:
27,48,75,65,7+8,Question: What is 27 + 48? Answer:
33,53,86,96,3+3,Question: What is 33 + 53? Answer:
87,34,121,111,7+4,Question: What is 87 + 34? Answer:
24,13,37,47,4+3,Question: What is 24 + 13? Answer:
73,80,153,163,3+0,Question: What is 73 + 80? Answer:
98,10,108,118,8+0,Question: What is 98 + 10? Answer:
89,23,112,102,9+3,Question: What is 89 + 23? Answer:
50,56,106,116,0+6,Question: What is 50 + 56? Answer:
91,93,184,194,1+3,Question: What is 91 + 93? Answer:
13,63,76,86,3+3,Question: What is 13 + 63? Answer:
84,31,115,125,4+1,Question: What is 84 + 31? Answer:
12,61,73,83,2+1,Question: What is 12 + 61? Answer:
63,25,88,98,3+5,Question: What is 63 + 25? Answer:
42,53,95,105,2+3,Question: What is 42 + 53? Answer:
38,81,119,129,8+1,Question: What is 38 + 81? Answer:
52,85,137,147,2+5,Question: What is 52 + 85? Answer:
60,92,152,162,0+2,Question: What is 60 + 92? Answer:
48,52,100,90,8+2,Question: What is 48 + 52? Answer:
57,32,89,99,7+2,Question: What is 57 + 32? Answer:
29,81,110,100,9+1,Question: What is 29 + 81? Answer:
47,82,129,139,7+2,Question: What is 47 + 82? Answer:
94,46,140,130,4+6,Question: What is 94 + 46? Answer:
48,51,99,109,8+1,Question: What is 48 + 51? Answer:
54,61,115,125,4+1,Question: What is 54 + 61? Answer:
51,25,76,86,1+5,Question: What is 51 + 25? Answer:
10,26,36,46,0+6,Question: What is 10 + 26? Answer:
43,11,54,64,3+1,Question: What is 43 + 11? Answer:
44,11,55,65,4+1,Question: What is 44 + 11? Answer:
17,75,92,82,7+5,Question: What is 17 + 75? Answer:
50,10,60,70,0+0,Question: What is 50 + 10? Answer:
55,14,69,79,5+4,Question: What is 55 + 14? Answer:
20,21,41,51,0+1,Question: What is 20 + 21? Answer:
69,41,110,100,9+1,Question: What is 69 + 41? Answer:
73,46,119,129,3+6,Question: What is 73 + 46? Answer:
87,61,148,158,7+1,Question: What is 87 + 61? Answer:
41,54,95,105,1+4,Question: What is 41 + 54? Answer:
72,16,88,98,2+6,Question: What is 72 + 16? Answer:
31,97,128,138,1+7,Question: What is 31 + 97? Answer:
51,34,85,95,1+4,Question: What is 51 + 34? Answer:
88,10,98,108,8+0,Question: What is 88 + 10? Answer:
95,83,178,188,5+3,Question: What is 95 + 83? Answer:
42,61,103,113,2+1,Question: What is 42 + 61? Answer:
18,29,47,37,8+9,Question: What is 18 + 29? Answer:
63,23,86,96,3+3,Question: What is 63 + 23? Answer:
82,47,129,139,2+7,Question: What is 82 + 47? Answer:
25,97,122,112,5+7,Question: What is 25 + 97? Answer:
93,31,124,134,3+1,Question: What is 93 + 31? Answer:
57,21,78,88,7+1,Question: What is 57 + 21? Answer:
98,61,159,169,8+1,Question: What is 98 + 61? Answer:
26,35,61,51,6+5,Question: What is 26 + 35? Answer:
40,13,53,63,0+3,Question: What is 40 + 13? Answer:
91,81,172,182,1+1,Question: What is 91 + 81? Answer:
21,32,53,63,1+2,Question: What is 21 + 32? Answer:
87,54,141,131,7+4,Question: What is 87 + 54? Answer:
95,51,146,156,5+1,Question: What is 95 + 51? Answer:
63,49,112,102,3+9,Question: What is 63 + 49? Answer:
91,73,164,174,1+3,Question: What is 91 + 73? Answer:
26,15,41,31,6+5,Question: What is 26 + 15? Answer:
95,86,181,171,5+6,Question: What is 95 + 86? Answer:
85,79,164,154,5+9,Question: What is 85 + 79? Answer:
32,80,112,122,2+0,Question: What is 32 + 80? Answer:
89,49,138,128,9+9,Question: What is 89 + 49? Answer:
24,39,63,53,4+9,Question: What is 24 + 39? Answer:
55,84,139,149,5+4,Question: What is 55 + 84? Answer:
26,65,91,81,6+5,Question: What is 26 + 65? Answer:
69,25,94,84,9+5,Question: What is 69 + 25? Answer:
23,62,85,95,3+2,Question: What is 23 + 62? Answer:
58,46,104,94,8+6,Question: What is 58 + 46? Answer:
95,49,144,134,5+9,Question: What is 95 + 49? Answer:
47,13,60,50,7+3,Question: What is 47 + 13? Answer:
56,77,133,123,6+7,Question: What is 56 + 77? Answer:
93,26,119,129,3+6,Question: What is 93 + 26? Answer:
50,41,91,101,0+1,Question: What is 50 + 41? Answer:
53,51,104,114,3+1,Question: What is 53 + 51? Answer:
37,55,92,82,7+5,Question: What is 37 + 55? Answer:
88,60,148,158,8+0,Question: What is 88 + 60? Answer:
20,49,69,79,0+9,Question: What is 20 + 49? Answer:
27,20,47,57,7+0,Question: What is 27 + 20? Answer:
59,89,148,138,9+9,Question: What is 59 + 89? Answer:
72,64,136,146,2+4,Question: What is 72 + 64? Answer:
94,52,146,156,4+2,Question: What is 94 + 52? Answer:
50,11,61,71,0+1,Question: What is 50 + 11? Answer:
38,69,107,97,8+9,Question: What is 38 + 69? Answer:
18,58,76,66,8+8,Question: What is 18 + 58? Answer:
49,86,135,125,9+6,Question: What is 49 + 86? Answer:
22,47,69,79,2+7,Question: What is 22 + 47? Answer:
69,82,151,141,9+2,Question: What is 69 + 82? Answer:
91,43,134,144,1+3,Question: What is 91 + 43? Answer:
81,16,97,107,1+6,Question: What is 81 + 16? Answer:
68,98,166,156,8+8,Question: What is 68 + 98? Answer:
67,38,105,95,7+8,Question: What is 67 + 38? Answer:
49,29,78,68,9+9,Question: What is 49 + 29? Answer:
70,31,101,111,0+1,Question: What is 70 + 31? Answer:
13,79,92,82,3+9,Question: What is 13 + 79? Answer:
55,66,121,111,5+6,Question: What is 55 + 66? Answer:
37,12,49,59,7+2,Question: What is 37 + 12? Answer:
92,18,110,100,2+8,Question: What is 92 + 18? Answer:
87,37,124,114,7+7,Question: What is 87 + 37? Answer:
95,23,118,128,5+3,Question: What is 95 + 23? Answer:
68,42,110,100,8+2,Question: What is 68 + 42? Answer:
42,79,121,111,2+9,Question: What is 42 + 79? Answer:
67,39,106,96,7+9,Question: What is 67 + 39? Answer:
37,61,98,108,7+1,Question: What is 37 + 61? Answer:
40,48,88,98,0+8,Question: What is 40 + 48? Answer:
38,96,134,124,8+6,Question: What is 38 + 96? Answer:
82,78,160,150,2+8,Question: What is 82 + 78? Answer:
53,39,92,82,3+9,Question: What is 53 + 39? Answer:
69,65,134,124,9+5,Question: What is 69 + 65? Answer:
65,60,125,135,5+0,Question: What is 65 + 60? Answer:
86,96,182,172,6+6,Question: What is 86 + 96? Answer:
74,67,141,131,4+7,Question: What is 74 + 67? Answer:
59,94,153,143,9+4,Question: What is 59 + 94? Answer:
43,21,64,74,3+1,Question: What is 43 + 21? Answer:
51,60,111,121,1+0,Question: What is 51 + 60? Answer:
14,73,87,97,4+3,Question: What is 14 + 73? Answer:
57,80,137,147,7+0,Question: What is 57 + 80? Answer:
77,43,120,110,7+3,Question: What is 77 + 43? Answer:
47,46,93,83,7+6,Question: What is 47 + 46? Answer:
31,91,122,132,1+1,Question: What is 31 + 91? Answer:
76,98,174,164,6+8,Question: What is 76 + 98? Answer:
86,70,156,166,6+0,Question: What is 86 + 70? Answer:
73,47,120,110,3+7,Question: What is 73 + 47? Answer:
75,93,168,178,5+3,Question: What is 75 + 93? Answer:
47,84,131,121,7+4,Question: What is 47 + 84? Answer:
81,51,132,142,1+1,Question: What is 81 + 51? Answer:
82,94,176,186,2+4,Question: What is 82 + 94? Answer:
40,83,123,133,0+3,Question: What is 40 + 83? Answer:
62,44,106,116,2+4,Question: What is 62 + 44? Answer:
96,23,119,129,6+3,Question: What is 96 + 23? Answer:
66,97,163,153,6+7,Question: What is 66 + 97? Answer:
98,49,147,137,8+9,Question: What is 98 + 49? Answer:
63,88,151,141,3+8,Question: What is 63 + 88? Answer:
61,37,98,108,1+7,Question: What is 61 + 37? Answer:
28,18,46,36,8+8,Question: What is 28 + 18? Answer:
98,99,197,187,8+9,Question: What is 98 + 99? Answer:
54,82,136,146,4+2,Question: What is 54 + 82? Answer:
81,73,154,164,1+3,Question: What is 81 + 73? Answer:
25,90,115,125,5+0,Question: What is 25 + 90? Answer:
84,58,142,132,4+8,Question: What is 84 + 58? Answer:
39,93,132,122,9+3,Question: What is 39 + 93? Answer:
48,85,133,123,8+5,Question: What is 48 + 85? Answer:
46,63,109,119,6+3,Question: What is 46 + 63? Answer:
86,72,158,168,6+2,Question: What is 86 + 72? Answer:
31,57,88,98,1+7,Question: What is 31 + 57? Answer:
66,24,90,80,6+4,Question: What is 66 + 24? Answer:
89,12,101,91,9+2,Question: What is 89 + 12? Answer:
52,95,147,157,2+5,Question: What is 52 + 95? Answer:
24,13,37,47,4+3,Question: What is 24 + 13? Answer:
18,72,90,80,8+2,Question: What is 18 + 72? Answer:
13,68,81,71,3+8,Question: What is 13 + 68? Answer:
74,55,129,139,4+5,Question: What is 74 + 55? Answer:
40,20,60,70,0+0,Question: What is 40 + 20? Answer:
21,61,82,92,1+1,Question: What is 21 + 61? Answer:
11,12,23,33,1+2,Question: What is 11 + 12? Answer:
80,93,173,183,0+3,Question: What is 80 + 93? Answer:
88,17,105,95,8+7,Question: What is 88 + 17? Answer:
15,11,26,36,5+1,Question: What is 15 + 11? Answer:
79,13,92,82,9+3,Question: What is 79 + 13? Answer:
40,70,110,120,0+0,Question: What is 40 + 70? Answer:
73,13,86,96,3+3,Question: What is 73 + 13? Answer:
54,40,94,104,4+0,Question: What is 54 + 40? Answer:
66,67,133,123,6+7,Question: What is 66 + 67? Answer:
78,21,99,109,8+1,Question: What is 78 + 21? Answer:
13,60,73,83,3+0,Question: What is 13 + 60? Answer:
93,65,158,168,3+5,Question: What is 93 + 65? Answer:
11,10,21,31,1+0,Question: What is 11 + 10? Answer:
84,64,148,158,4+4,Question: What is 84 + 64? Answer:
87,18,105,95,7+8,Question: What is 87 + 18? Answer:
85,93,178,188,5+3,Question: What is 85 + 93? Answer:
19,70,89,99,9+0,Question: What is 19 + 70? Answer:
59,85,144,134,9+5,Question: What is 59 + 85? Answer:
23,88,111,101,3+8,Question: What is 23 + 88? Answer:
81,51,132,142,1+1,Question: What is 81 + 51? Answer:
69,31,100,90,9+1,Question: What is 69 + 31? Answer:
35,77,112,102,5+7,Question: What is 35 + 77? Answer:
48,24,72,62,8+4,Question: What is 48 + 24? Answer:
59,17,76,66,9+7,Question: What is 59 + 17? Answer:
95,65,160,150,5+5,Question: What is 95 + 65? Answer:
87,98,185,175,7+8,Question: What is 87 + 98? Answer:
69,68,137,127,9+8,Question: What is 69 + 68? Answer:
38,18,56,46,8+8,Question: What is 38 + 18? Answer:
56,96,152,142,6+6,Question: What is 56 + 96? Answer:
96,10,106,116,6+0,Question: What is 96 + 10? Answer:
93,77,170,160,3+7,Question: What is 93 + 77? Answer:
75,94,169,179,5+4,Question: What is 75 + 94? Answer:
94,17,111,101,4+7,Question: What is 94 + 17? Answer:
94,44,138,148,4+4,Question: What is 94 + 44? Answer:
50,82,132,142,0+2,Question: What is 50 + 82? Answer:
56,49,105,95,6+9,Question: What is 56 + 49? Answer:
89,13,102,92,9+3,Question: What is 89 + 13? Answer:
35,12,47,57,5+2,Question: What is 35 + 12? Answer:
69,31,100,90,9+1,Question: What is 69 + 31? Answer:
32,99,131,121,2+9,Question: What is 32 + 99? Answer:
56,82,138,148,6+2,Question: What is 56 + 82? Answer:
94,42,136,146,4+2,Question: What is 94 + 42? Answer:
30,16,46,56,0+6,Question: What is 30 + 16? Answer:
64,58,122,112,4+8,Question: What is 64 + 58? Answer:
88,50,138,148,8+0,Question: What is 88 + 50? Answer:
97,29,126,116,7+9,Question: What is 97 + 29? Answer:
57,54,111,101,7+4,Question: What is 57 + 54? Answer:
13,63,76,86,3+3,Question: What is 13 + 63? Answer:
89,31,120,110,9+1,Question: What is 89 + 31? Answer:
38,33,71,61,8+3,Question: What is 38 + 33? Answer:
56,33,89,99,6+3,Question: What is 56 + 33? Answer:
95,73,168,178,5+3,Question: What is 95 + 73? Answer:
17,95,112,102,7+5,Question: What is 17 + 95? Answer:
94,78,172,162,4+8,Question: What is 94 + 78? Answer:
87,57,144,134,7+7,Question: What is 87 + 57? Answer:
42,77,119,129,2+7,Question: What is 42 + 77? Answer:
95,92,187,197,5+2,Question: What is 95 + 92? Answer:
54,90,144,154,4+0,Question: What is 54 + 90? Answer:
64,96,160,150,4+6,Question: What is 64 + 96? Answer:
67,29,96,86,7+9,Question: What is 67 + 29? Answer:
93,38,131,121,3+8,Question: What is 93 + 38? Answer:
57,36,93,83,7+6,Question: What is 57 + 36? Answer:
86,15,101,91,6+5,Question: What is 86 + 15? Answer:
76,70,146,156,6+0,Question: What is 76 + 70? Answer:
16,38,54,44,6+8,Question: What is 16 + 38? Answer:
38,73,111,101,8+3,Question: What is 38 + 73? Answer:
94,83,177,187,4+3,Question: What is 94 + 83? Answer:
38,84,122,112,8+4,Question: What is 38 + 84? Answer:
88,10,98,108,8+0,Question: What is 88 + 10? Answer:
98,81,179,189,8+1,Question: What is 98 + 81? Answer:
60,12,72,82,0+2,Question: What is 60 + 12? Answer:
76,24,100,90,6+4,Question: What is 76 + 24? Answer:
60,16,76,86,0+6,Question: What is 60 + 16? Answer:
93,28,121,111,3+8,Question: What is 93 + 28? Answer:
41,23,64,74,1+3,Question: What is 41 + 23? Answer:
49,46,95,85,9+6,Question: What is 49 + 46? Answer:
20,79,99,109,0+9,Question: What is 20 + 79? Answer:
82,18,100,90,2+8,Question: What is 82 + 18? Answer:
35,81,116,126,5+1,Question: What is 35 + 81? Answer:
12,98,110,100,2+8,Question: What is 12 + 98? Answer:
20,92,112,122,0+2,Question: What is 20 + 92? Answer:
28,66,94,84,8+6,Question: What is 28 + 66? Answer:
31,75,106,116,1+5,Question: What is 31 + 75? Answer:
37,66,103,93,7+6,Question: What is 37 + 66? Answer:
17,36,53,43,7+6,Question: What is 17 + 36? Answer:
22,18,40,30,2+8,Question: What is 22 + 18? Answer:
49,54,103,93,9+4,Question: What is 49 + 54? Answer:
19,44,63,53,9+4,Question: What is 19 + 44? Answer:
47,13,60,50,7+3,Question: What is 47 + 13? Answer:
36,72,108,118,6+2,Question: What is 36 + 72? Answer:
31,85,116,126,1+5,Question: What is 31 + 85? Answer:
19,83,102,92,9+3,Question: What is 19 + 83? Answer:
36,72,108,118,6+2,Question: What is 36 + 72? Answer:
94,83,177,187,4+3,Question: What is 94 + 83? Answer:
40,70,110,120,0+0,Question: What is 40 + 70? Answer:
96,12,108,118,6+2,Question: What is 96 + 12? Answer:
81,62,143,153,1+2,Question: What is 81 + 62? Answer:
98,79,177,167,8+9,Question: What is 98 + 79? Answer:
53,32,85,95,3+2,Question: What is 53 + 32? Answer:
35,45,80,70,5+5,Question: What is 35 + 45? Answer:
17,70,87,97,7+0,Question: What is 17 + 70? Answer:
60,25,85,95,0+5,Question: What is 60 + 25? Answer:
96,66,162,152,6+6,Question: What is 96 + 66? Answer:
47,15,62,52,7+5,Question: What is 47 + 15? Answer:
66,61,127,137,6+1,Question: What is 66 + 61? Answer:
49,32,81,71,9+2,Question: What is 49 + 32? Answer:
59,14,73,63,9+4,Question: What is 59 + 14? Answer:
74,49,123,113,4+9,Question: What is 74 + 49? Answer:
12,10,22,32,2+0,Question: What is 12 + 10? Answer:
53,93,146,156,3+3,Question: What is 53 + 93? Answer:
21,28,49,59,1+8,Question: What is 21 + 28? Answer:
22,46,68,78,2+6,Question: What is 22 + 46? Answer:
88,76,164,154,8+6,Question: What is 88 + 76? Answer:
32,66,98,108,2+6,Question: What is 32 + 66? Answer:
14,69,83,73,4+9,Question: What is 14 + 69? Answer:
37,39,76,66,7+9,Question: What is 37 + 39? Answer:
71,67,138,148,1+7,Question: What is 71 + 67? Answer:
29,88,117,107,9+8,Question: What is 29 + 88? Answer:
11,56,67,77,1+6,Question: What is 11 + 56? Answer:
58,53,111,101,8+3,Question: What is 58 + 53? Answer:
58,27,85,75,8+7,Question: What is 58 + 27? Answer:
92,93,185,195,2+3,Question: What is 92 + 93? Answer:
61,95,156,166,1+5,Question: What is 61 + 95? Answer:
10,58,68,78,0+8,Question: What is 10 + 58? Answer:
81,36,117,127,1+6,Question: What is 81 + 36? Answer:
22,60,82,92,2+0,Question: What is 22 + 60? Answer:
86,98,184,174,6+8,Question: What is 86 + 98? Answer:
28,12,40,30,8+2,Question: What is 28 + 12? Answer:
62,77,139,149,2+7,Question: What is 62 + 77? Answer:
38,75,113,103,8+5,Question: What is 38 + 75? Answer:
57,31,88,98,7+1,Question: What is 57 + 31? Answer:
29,49,78,68,9+9,Question: What is 29 + 49? Answer:
16,48,64,54,6+8,Question: What is 16 + 48? Answer:
69,20,89,99,9+0,Question: What is 69 + 20? Answer:
89,10,99,109,9+0,Question: What is 89 + 10? Answer:
65,39,104,94,5+9,Question: What is 65 + 39? Answer:
98,20,118,128,8+0,Question: What is 98 + 20? Answer:
48,14,62,52,8+4,Question: What is 48 + 14? Answer:
55,40,95,105,5+0,Question: What is 55 + 40? Answer:
50,70,120,130,0+0,Question: What is 50 + 70? Answer:
66,47,113,103,6+7,Question: What is 66 + 47? Answer:
55,82,137,147,5+2,Question: What is 55 + 82? Answer:
43,68,111,101,3+8,Question: What is 43 + 68? Answer:
66,87,153,143,6+7,Question: What is 66 + 87? Answer:
93,61,154,164,3+1,Question: What is 93 + 61? Answer:
50,74,124,134,0+4,Question: What is 50 + 74? Answer:
59,60,119,129,9+0,Question: What is 59 + 60? Answer:
64,55,119,129,4+5,Question: What is 64 + 55? Answer:
98,62,160,150,8+2,Question: What is 98 + 62? Answer:
31,88,119,129,1+8,Question: What is 31 + 88? Answer:
69,72,141,131,9+2,Question: What is 69 + 72? Answer:
69,21,90,80,9+1,Question: What is 69 + 21? Answer:
72,73,145,155,2+3,Question: What is 72 + 73? Answer:
57,99,156,146,7+9,Question: What is 57 + 99? Answer:
70,27,97,107,0+7,Question: What is 70 + 27? Answer:
42,25,67,77,2+5,Question: What is 42 + 25? Answer:
53,33,86,96,3+3,Question: What is 53 + 33? Answer:
50,23,73,83,0+3,Question: What is 50 + 23? Answer:
43,14,57,67,3+4,Question: What is 43 + 14? Answer:
22,37,59,69,2+7,Question: What is 22 + 37? Answer:
23,25,48,58,3+5,Question: What is 23 + 25? Answer:
48,26,74,64,8+6,Question: What is 48 + 26? Answer:
18,37,55,45,8+7,Question: What is 18 + 37? Answer:
29,57,86,76,9+7,Question: What is 29 + 57? Answer:
75,66,141,131,5+6,Question: What is 75 + 66? Answer:
89,97,186,176,9+7,Question: What is 89 + 97? Answer:
59,48,107,97,9+8,Question: What is 59 + 48? Answer:
82,81,163,173,2+1,Question: What is 82 + 81? Answer:
68,69,137,127,8+9,Question: What is 68 + 69? Answer:
74,37,111,101,4+7,Question: What is 74 + 37? Answer:
82,67,149,159,2+7,Question: What is 82 + 67? Answer:
62,51,113,123,2+1,Question: What is 62 + 51? Answer:
41,90,131,141,1+0,Question: What is 41 + 90? Answer:
14,13,27,37,4+3,Question: What is 14 + 13? Answer:
50,72,122,132,0+2,Question: What is 50 + 72? Answer:
13,17,30,20,3+7,Question: What is 13 + 17? Answer:
17,70,87,97,7+0,Question: What is 17 + 70? Answer:
51,44,95,105,1+4,Question: What is 51 + 44? Answer:
71,40,111,121,1+0,Question: What is 71 + 40? Answer:
19,98,117,107,9+8,Question: What is 19 + 98? Answer:
43,16,59,69,3+6,Question: What is 43 + 16? Answer:
51,49,100,90,1+9,Question: What is 51 + 49? Answer:
66,53,119,129,6+3,Question: What is 66 + 53? Answer:
67,65,132,122,7+5,Question: What is 67 + 65? Answer:
80,43,123,133,0+3,Question: What is 80 + 43? Answer:
15,26,41,31,5+6,Question: What is 15 + 26? Answer:
97,69,166,156,7+9,Question: What is 97 + 69? Answer:
75,33,108,118,5+3,Question: What is 75 + 33? Answer:
20,20,40,50,0+0,Question: What is 20 + 20? Answer:
13,69,82,72,3+9,Question: What is 13 + 69? Answer:
81,91,172,182,1+1,Question: What is 81 + 91? Answer:
50,51,101,111,0+1,Question: What is 50 + 51? Answer:
25,22,47,57,5+2,Question: What is 25 + 22? Answer:
66,55,121,111,6+5,Question: What is 66 + 55? Answer:
42,86,128,138,2+6,Question: What is 42 + 86? Answer:
87,74,161,151,7+4,Question: What is 87 + 74? Answer:
15,14,29,39,5+4,Question: What is 15 + 14? Answer:
29,93,122,112,9+3,Question: What is 29 + 93? Answer:
96,26,122,112,6+6,Question: What is 96 + 26? Answer:
44,41,85,95,4+1,Question: What is 44 + 41? Answer:
79,90,169,179,9+0,Question: What is 79 + 90? Answer:
51,20,71,81,1+0,Question: What is 51 + 20? Answer:
85,48,133,123,5+8,Question: What is 85 + 48? Answer:
96,80,176,186,6+0,Question: What is 96 + 80? Answer:
29,64,93,83,9+4,Question: What is 29 + 64? Answer:
11,18,29,39,1+8,Question: What is 11 + 18? Answer:
22,16,38,48,2+6,Question: What is 22 + 16? Answer:
27,15,42,32,7+5,Question: What is 27 + 15? Answer:
93,38,131,121,3+8,Question: What is 93 + 38? Answer:
90,69,159,169,0+9,Question: What is 90 + 69? Answer:
70,87,157,167,0+7,Question: What is 70 + 87? Answer:
42,12,54,64,2+2,Question: What is 42 + 12? Answer:
47,28,75,65,7+8,Question: What is 47 + 28? Answer:
56,77,133,123,6+7,Question: What is 56 + 77? Answer:
51,57,108,118,1+7,Question: What is 51 + 57? Answer:
15,31,46,56,5+1,Question: What is 15 + 31? Answer:
96,11,107,117,6+1,Question: What is 96 + 11? Answer:
13,70,83,93,3+0,Question: What is 13 + 70? Answer:
65,99,164,154,5+9,Question: What is 65 + 99? Answer:
20,61,81,91,0+1,Question: What is 20 + 61? Answer:
28,83,111,101,8+3,Question: What is 28 + 83? Answer:
69,87,156,146,9+7,Question: What is 69 + 87? Answer:
64,85,149,159,4+5,Question: What is 64 + 85? Answer:
69,74,143,133,9+4,Question: What is 69 + 74? Answer:
70,11,81,91,0+1,Question: What is 70 + 11? Answer:
94,66,160,150,4+6,Question: What is 94 + 66? Answer:
35,14,49,59,5+4,Question: What is 35 + 14? Answer:
94,10,104,114,4+0,Question: What is 94 + 10? Answer:
58,69,127,117,8+9,Question: What is 58 + 69? Answer:
62,16,78,88,2+6,Question: What is 62 + 16? Answer:
25,63,88,98,5+3,Question: What is 25 + 63? Answer:
57,14,71,61,7+4,Question: What is 57 + 14? Answer:
71,78,149,159,1+8,Question: What is 71 + 78? Answer:
52,19,71,61,2+9,Question: What is 52 + 19? Answer:
18,64,82,72,8+4,Question: What is 18 + 64? Answer:
67,68,135,125,7+8,Question: What is 67 + 68? Answer:
95,47,142,132,5+7,Question: What is 95 + 47? Answer:
62,84,146,156,2+4,Question: What is 62 + 84? Answer:
43,54,97,107,3+4,Question: What is 43 + 54? Answer:
56,46,102,92,6+6,Question: What is 56 + 46? Answer:
70,57,127,137,0+7,Question: What is 70 + 57? Answer:
42,62,104,114,2+2,Question: What is 42 + 62? Answer:
50,74,124,134,0+4,Question: What is 50 + 74? Answer:
40,15,55,65,0+5,Question: What is 40 + 15? Answer:
89,15,104,94,9+5,Question: What is 89 + 15? Answer:
64,47,111,101,4+7,Question: What is 64 + 47? Answer:
68,44,112,102,8+4,Question: What is 68 + 44? Answer:
49,15,64,54,9+5,Question: What is 49 + 15? Answer:
54,39,93,83,4+9,Question: What is 54 + 39? Answer:
82,58,140,130,2+8,Question: What is 82 + 58? Answer:
69,58,127,117,9+8,Question: What is 69 + 58? Answer:
59,55,114,104,9+5,Question: What is 59 + 55? Answer:
84,69,153,143,4+9,Question: What is 84 + 69? Answer:
64,33,97,107,4+3,Question: What is 64 + 33? Answer:
37,84,121,111,7+4,Question: What is 37 + 84? Answer:
63,14,77,87,3+4,Question: What is 63 + 14? Answer:
12,18,30,20,2+8,Question: What is 12 + 18? Answer:
11,77,88,98,1+7,Question: What is 11 + 77? Answer:
86,57,143,133,6+7,Question: What is 86 + 57? Answer:
68,77,145,135,8+7,Question: What is 68 + 77? Answer:
93,18,111,101,3+8,Question: What is 93 + 18? Answer:
16,39,55,45,6+9,Question: What is 16 + 39? Answer:
48,85,133,123,8+5,Question: What is 48 + 85? Answer:
21,86,107,117,1+6,Question: What is 21 + 86? Answer:
74,90,164,174,4+0,Question: What is 74 + 90? Answer:
45,15,60,50,5+5,Question: What is 45 + 15? Answer:
68,55,123,113,8+5,Question: What is 68 + 55? Answer:
26,38,64,54,6+8,Question: What is 26 + 38? Answer:
59,78,137,127,9+8,Question: What is 59 + 78? Answer:
79,98,177,167,9+8,Question: What is 79 + 98? Answer:
25,21,46,56,5+1,Question: What is 25 + 21? Answer:
98,92,190,180,8+2,Question: What is 98 + 92? Answer:
26,24,50,40,6+4,Question: What is 26 + 24? Answer:
44,31,75,85,4+1,Question: What is 44 + 31? Answer:
50,32,82,92,0+2,Question: What is 50 + 32? Answer:
91,55,146,156,1+5,Question: What is 91 + 55? Answer:
84,70,154,164,4+0,Question: What is 84 + 70? Answer:
37,17,54,44,7+7,Question: What is 37 + 17? Answer:
90,44,134,144,0+4,Question: What is 90 + 44? Answer:
74,46,120,110,4+6,Question: What is 74 + 46? Answer:
35,56,91,81,5+6,Question: What is 35 + 56? Answer:
30,19,49,59,0+9,Question: What is 30 + 19? Answer:
28,93,121,111,8+3,Question: What is 28 + 93? Answer:
71,49,120,110,1+9,Question: What is 71 + 49? Answer:
63,19,82,72,3+9,Question: What is 63 + 19? Answer:
53,66,119,129,3+6,Question: What is 53 + 66? Answer:
70,98,168,178,0+8,Question: What is 70 + 98? Answer:
73,64,137,147,3+4,Question: What is 73 + 64? Answer:
66,71,137,147,6+1,Question: What is 66 + 71? Answer:
82,45,127,137,2+5,Question: What is 82 + 45? Answer:
89,96,185,175,9+6,Question: What is 89 + 96? Answer:
28,45,73,63,8+5,Question: What is 28 + 45? Answer:
36,72,108,118,6+2,Question: What is 36 + 72? Answer:
47,76,123,113,7+6,Question: What is 47 + 76? Answer:
43,39,82,72,3+9,Question: What is 43 + 39? Answer:
85,65,150,140,5+5,Question: What is 85 + 65? Answer:
19,84,103,93,9+4,Question: What is 19 + 84? Answer:
98,50,148,158,8+0,Question: What is 98 + 50? Answer:
12,67,79,89,2+7,Question: What is 12 + 67? Answer:
95,96,191,181,5+6,Question: What is 95 + 96? Answer:
32,24,56,66,2+4,Question: What is 32 + 24? Answer:
26,68,94,84,6+8,Question: What is 26 + 68? Answer:
26,84,110,100,6+4,Question: What is 26 + 84? Answer:
85,88,173,163,5+8,Question: What is 85 + 88? Answer:
92,11,103,113,2+1,Question: What is 92 + 11? Answer:
63,87,150,140,3+7,Question: What is 63 + 87? Answer:
57,83,140,130,7+3,Question: What is 57 + 83? Answer:
