Quantity,ContextObject,Answer,DistractorAnswer,sentence
time,lightning flash,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a lightning flash is called the """
force,crane lift,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a crane lift is called the """
temperature,light bulb filament,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving light bulb filament is named """
temperature,stars core,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a stars core, they should use the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a bag of cement's mass is named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a exploding firework, scientists use the unit named """
temperature,desert noon,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given desert noon, the standard unit of choice is """
temperature,comet tail,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving comet tail is named """
temperature,desert noon,['kelvin'],joules,"Fact: When recording the typical temperature associated with a desert noon, researchers write it in the unit named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given camera exposure, the standard unit of choice is """
temperature,fusion reactor,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a fusion reactor, they should use the unit named """
time,match burn,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a match burn is """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a sound wave cycle, the result is expressed in the unit named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a elephant is """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a chemical reaction, they should use the unit named """
temperature,superconductor,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a superconductor is named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving battery charge is named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a bullet impact is """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a brick is """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a bowling ball's mass is named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given grain of sand, the standard unit of choice is """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a liquid nitrogen is named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a laptop is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving liquid nitrogen is named """
temperature,superconductor,['kelvin'],joules,"Fact: When recording the typical temperature associated with a superconductor, researchers write it in the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a bullet impact, researchers write it in the unit named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a wind turbine is named """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a gravity pull's force is named """
temperature,liquid helium,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given liquid helium, the standard unit of choice is """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a hydraulic press is """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a bow string tension, the result is expressed in the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a shutter speed, the result is expressed in the unit named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given camera shutter, the standard unit of choice is """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a anchor is called the """
temperature,deep space,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a deep space's temperature is named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a stopwatch is called the """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a elastic band recoil is named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a laptop, researchers write it in the unit named """
temperature,molten lava,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a molten lava is named """
time,sprinter split,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a sprinter split, they should use the unit named """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a steam turbine is called the """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a paperclip is """
temperature,human body,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a human body, scientists use the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a kinetic impact, the result is expressed in the unit named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a gold bar is """
temperature,comet tail,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a comet tail, they should use the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given bag of cement, the standard unit of choice is """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a suitcase is named """
temperature,antarctic ice,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a antarctic ice, they should use the unit named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a hammer strike, they should use the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a countdown is called the """
time,processor cycle,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a processor cycle, scientists use the unit named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a marble is """
temperature,liquid helium,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a liquid helium, they should use the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a kinetic impact, they should use the unit named """
temperature,campfire,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a campfire is named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given flywheel spin, the standard unit of choice is """
temperature,stars core,['kelvin'],joules,"Fact: When recording the typical temperature associated with a stars core, researchers write it in the unit named """
force,car crash,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a car crash is called the """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving blink of an eye is named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a laser beam is named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a lightning bolt, scientists use the unit named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a battery charge is called the """
time,orbit period,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a orbit period, researchers write it in the unit named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given laser beam, the standard unit of choice is """
temperature,volcanic vent,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a volcanic vent's temperature is named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a gold bar, they should use the unit named """
time,echo delay,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given echo delay, the standard unit of choice is """
temperature,boiling water,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a boiling water is called the """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a paperclip is named """
temperature,antarctic ice,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving antarctic ice is named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving lightning flash is named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a falling water is named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a shipping container, scientists use the unit named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a gold bar's mass is named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given magnets pull, the standard unit of choice is """
temperature,boiling water,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a boiling water, scientists use the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a water jet is """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a marble, they should use the unit named """
temperature,molten copper,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a molten copper, scientists use the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a kinetic impact is called the """
time,shutter speed,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving shutter speed is named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a falling water is called the """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving feather is named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a pendulum swing is """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a piano's mass is named """
time,drum beat,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a drum beat is """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a food calorie's energy is named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given dumbbell, the standard unit of choice is """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a gasoline combustion, the result is expressed in the unit named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a processor cycle's time is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given food calorie, the standard unit of choice is """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a gravity pull, researchers write it in the unit named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given lightning flash, the standard unit of choice is """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a hydraulic press, the result is expressed in the unit named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a bow string tension, scientists use the unit named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given piano, the standard unit of choice is """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a spring stretch's force is named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving aircraft carrier is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a food calorie is called the """
time,drum beat,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given drum beat, the standard unit of choice is """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a photon emission's energy is named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a grain of sand is """
time,heartbeat,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a heartbeat, they should use the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a bag of cement, the result is expressed in the unit named """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a elastic band recoil, scientists use the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving water jet is named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a heartbeat, researchers write it in the unit named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a anvil, the result is expressed in the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a melting glacier's temperature is named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a marble's mass is named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a laptop, the result is expressed in the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a laser pulse is """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a compressed spring is """
temperature,comet tail,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a comet tail's temperature is named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a spring stretch, researchers write it in the unit named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given spring stretch, the standard unit of choice is """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a hydraulic press, they should use the unit named """
time,sprinter split,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a sprinter split is """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a rocket engine's force is named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a magnets pull, researchers write it in the unit named """
temperature,campfire,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a campfire's temperature is named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving camera shutter is named """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a gravity pull is called the """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a bag of cement, scientists use the unit named """
temperature,superconductor,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a superconductor's temperature is named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a brick, they should use the unit named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a earthquake tremor is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a reaction time, scientists use the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a gasoline combustion, they should use the unit named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a sound wave cycle is """
temperature,frozen tundra,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a frozen tundra, they should use the unit named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a falling water, scientists use the unit named """
temperature,cooking oven,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a cooking oven is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a reaction time is """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a gold bar is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a reaction time, researchers write it in the unit named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a bungee cord, scientists use the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a hourglass run, scientists use the unit named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a magnets pull is named """
time,drum beat,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving drum beat is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a reaction time, they should use the unit named """
temperature,comet tail,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a comet tail is named """
temperature,cooking oven,['kelvin'],joules,"Fact: When recording the typical temperature associated with a cooking oven, researchers write it in the unit named """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a compressed spring, researchers write it in the unit named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a battery charge's energy is named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a heartbeat's time is named """
energy,burning match,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a burning match, the result is expressed in the unit named """
temperature,campfire,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a campfire, the result is expressed in the unit named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a camera exposure, the result is expressed in the unit named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a food calorie is named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a sound wave cycle, scientists use the unit named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a laptop, scientists use the unit named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a bungee cord is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a chemical reaction, scientists use the unit named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a blink of an eye, scientists use the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a aircraft carrier, researchers write it in the unit named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a coal burning, scientists use the unit named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a pendulum swing, they should use the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a laser pulse, they should use the unit named """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a elastic band recoil, they should use the unit named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a hammer strike, scientists use the unit named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given bungee cord, the standard unit of choice is """
temperature,human body,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given human body, the standard unit of choice is """
time,sprinter split,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a sprinter split, researchers write it in the unit named """
temperature,liquid helium,['kelvin'],joules,"Fact: When recording the typical temperature associated with a liquid helium, researchers write it in the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a fusion reactor is named """
temperature,melting glacier,['kelvin'],joules,"Fact: When recording the typical temperature associated with a melting glacier, researchers write it in the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a grain of sand's mass is named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a wind turbine is called the """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a wind turbine, they should use the unit named """
energy,battery,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a battery, researchers write it in the unit named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a brick, the result is expressed in the unit named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a falling water's energy is named """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a rocket engine is called the """
time,echo delay,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving echo delay is named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a shipping container, they should use the unit named """
temperature,volcanic vent,['kelvin'],joules,"Fact: When recording the typical temperature associated with a volcanic vent, researchers write it in the unit named """
time,echo delay,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a echo delay, researchers write it in the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a laser pulse, researchers write it in the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a shutter speed's time is named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given laser pulse, the standard unit of choice is """
time,reaction time,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a reaction time is called the """
temperature,liquid helium,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving liquid helium is named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a lightning flash is named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a backpack, scientists use the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a engine thrust, researchers write it in the unit named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving processor cycle is named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given magnetic repulsion, the standard unit of choice is """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a bow string tension's force is named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a bungee cord, the result is expressed in the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a friction drag, the result is expressed in the unit named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a heat pump, researchers write it in the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a weightlifter push is """
temperature,frozen tundra,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a frozen tundra, scientists use the unit named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a falling water, they should use the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a bag of cement is called the """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a shipping container's mass is named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a gold bar, the result is expressed in the unit named """
temperature,frozen tundra,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving frozen tundra is named """
temperature,cooking oven,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a cooking oven, scientists use the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a countdown, scientists use the unit named """
time,reaction time,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a reaction time, the result is expressed in the unit named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a bow string tension is """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a anvil's mass is named """
temperature,volcanic vent,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a volcanic vent, the result is expressed in the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given bullet impact, the standard unit of choice is """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a battery charge, they should use the unit named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a blink of an eye is called the """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a photon emission, scientists use the unit named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a processor cycle is named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving dumbbell is named """
force,water jet,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a water jet, they should use the unit named """
temperature,light bulb filament,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a light bulb filament, the result is expressed in the unit named """
temperature,cooking oven,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a cooking oven is called the """
time,orbit period,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a orbit period's time is named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a shipping container is """
temperature,forest fire,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a forest fire is named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a earthquake tremor's force is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given reaction time, the standard unit of choice is """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given steam turbine, the standard unit of choice is """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a laser beam is """
time,echo delay,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a echo delay is called the """
energy,falling water,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving falling water is named """
temperature,human body,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a human body's temperature is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a chemical reaction's energy is named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a boulder is called the """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given solar panel, the standard unit of choice is """
temperature,human body,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving human body is named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a radioactive decay half-life, they should use the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a laser pulse, the result is expressed in the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a aircraft carrier is called the """
temperature,campfire,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a campfire is """
temperature,desert noon,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a desert noon, they should use the unit named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a laptop, they should use the unit named """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a compressed spring, the result is expressed in the unit named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a dumbbell, researchers write it in the unit named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a boulder, researchers write it in the unit named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a nuclear fission is """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a bowling ball is called the """
temperature,forest fire,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given forest fire, the standard unit of choice is """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given engine thrust, the standard unit of choice is """
